method,g_steps,tau_steps,use_corrector,corrector,c_stepsize,c_steps,nfe,h_dist,error_rate,tag
gillespies,3,0,True,mpf,0.1,1,162.13333333333333,0.0315511215733294,0.006796875,gillespies-1-mpf-0.1
gillespies,2,0,True,mpf,0.1,1,243.2,0.0190500145943452,0.0058984375,gillespies-1-mpf-0.1
gillespies,2,0,True,mpf,0.1,2,358.4,0.0348534433207136,0.0041015625,gillespies-2-mpf-0.1
gillespies,2,0,True,mpf,0.1,2,358.4,0.0268815508290445,0.0044921875,gillespies-2-mpf-0.1
gillespies,2,0,True,mpf,0.1,2,358.4,0.0233693039711419,0.00359375,gillespies-2-mpf-0.1
gillespies,3,0,True,mpf,0.1,2,238.9333333333333,0.0427133081910236,0.00484375,gillespies-2-mpf-0.1
gillespies,3,0,True,mpf,0.1,2,238.9333333333333,0.0371133219601994,0.00453125,gillespies-2-mpf-0.1
gillespies,3,0,True,mpf,0.1,2,238.9333333333333,0.0313972693766605,0.0051171875,gillespies-2-mpf-0.1
gillespies,4,0,True,mpf,0.1,2,179.2,0.0331528577922817,0.0071484375,gillespies-2-mpf-0.1
gillespies,4,0,True,mpf,0.1,2,179.2,0.037256833931687,0.0057421875,gillespies-2-mpf-0.1
gillespies,4,0,True,mpf,0.1,2,179.2,0.0410636928934553,0.0069921875,gillespies-2-mpf-0.1
gillespies,3,0,True,mpf,0.1,1,162.13333333333333,0.0429114955437227,0.006484375,gillespies-1-mpf-0.1
gillespies,3,0,True,mpf,0.1,1,162.13333333333333,0.0449807842107367,0.0062109375,gillespies-1-mpf-0.1
gillespies,3,0,True,mpf,0.1,1,162.13333333333333,0.0268700226887192,0.0069140625,gillespies-1-mpf-0.1
gillespies,2,0,True,mpf,0.1,1,243.2,0.0332659096576922,0.00453125,gillespies-1-mpf-0.1
gillespies,2,0,True,mpf,0.1,1,243.2,0.026642093385921,0.0052734375,gillespies-1-mpf-0.1
gillespies,2,0,True,mpf,0.1,1,243.2,0.0410152972974135,0.004609375,gillespies-1-mpf-0.1
gillespies,4,0,True,mpf,0.1,1,121.6,0.035021718071816,0.007265625,gillespies-1-mpf-0.1
gillespies,4,0,True,mpf,0.1,1,121.6,0.0477801820032474,0.0066015625,gillespies-1-mpf-0.1
gillespies,4,0,True,mpf,0.1,1,121.6,0.0304270349018502,0.0069921875,gillespies-1-mpf-0.1
gillespies,1,0,True,mpf,0.1,1,486.4,0.03323743807549,0.003671875,gillespies-1-mpf-0.1
gillespies,1,0,True,mpf,0.1,1,486.4,0.0239065616496455,0.0046875,gillespies-1-mpf-0.1
gillespies,1,0,True,mpf,0.1,1,486.4,0.0249221855305481,0.0035546875,gillespies-1-mpf-0.1
gillespies,1,0,True,barker,0.1,1,486.4,0.0300645877060981,0.008125,gillespies-1-barker-0.1
gillespies,1,0,True,barker,0.1,1,486.4,0.0211934868440143,0.009296875,gillespies-1-barker-0.1
gillespies,1,0,True,barker,0.1,1,486.4,0.0219204115875083,0.0094921875,gillespies-1-barker-0.1
gillespies,2,0,True,barker,0.1,1,243.2,0.0294034403045966,0.0158203125,gillespies-1-barker-0.1
gillespies,2,0,True,barker,0.1,1,243.2,0.0334694716361878,0.0160546875,gillespies-1-barker-0.1
gillespies,2,0,True,barker,0.1,1,243.2,0.0189001788885435,0.0151171875,gillespies-1-barker-0.1
gillespies,3,0,True,barker,0.1,1,162.13333333333333,0.0308442346511305,0.0217578125,gillespies-1-barker-0.1
gillespies,3,0,True,barker,0.1,1,162.13333333333333,0.0337956397680033,0.0232421875,gillespies-1-barker-0.1
gillespies,3,0,True,barker,0.1,1,162.13333333333333,0.0255346333099379,0.0209765625,gillespies-1-barker-0.1
gillespies,3,0,True,barker,1.0,1,162.13333333333333,0.0259041398770074,0.0173828125,gillespies-1-barker-1.0
gillespies,3,0,True,barker,1.0,1,162.13333333333333,0.0271073095115194,0.018984375,gillespies-1-barker-1.0
