method,g_steps,tau_steps,use_corrector,corrector,c_stepsize,c_steps,nfe,h_dist,outlier_rate
tauleaping,0,50,True,mpf,1.0,1,95.0,0.3794871595882483,0.1249919707091469
tauleaping,0,50,True,mpf,1.0,1,95.0,0.3780450319462578,0.1218806205035971
tauleaping,0,50,True,mpf,1.0,1,95.0,0.3792639253193196,0.1228642086330935
tauleaping,0,100,True,mpf,1.0,1,190.0,0.3803206155931551,0.123382097893114
tauleaping,0,100,True,mpf,1.0,1,190.0,0.3800044233128485,0.1224346415724563
tauleaping,0,100,True,mpf,1.0,1,190.0,0.378350531199444,0.1214390095066803
tauleaping,0,200,True,mpf,1.0,1,380.0,0.3784528547391856,0.121350687307297
tauleaping,0,200,True,mpf,1.0,1,380.0,0.3784375251255171,0.1215634635149023
tauleaping,0,200,True,mpf,1.0,1,380.0,0.3785529563636009,0.1216919321685508
tauleaping,0,50,True,birthdeath,0.1,1,95.0,0.3967871730204158,0.1509948291366906
tauleaping,0,50,True,birthdeath,0.1,1,95.0,0.4003014485693266,0.1559047404933196
tauleaping,0,50,True,birthdeath,0.1,1,95.0,0.3982396296879069,0.1535160264645426
tauleaping,0,100,True,birthdeath,0.1,1,190.0,0.3882195069656297,0.13874213129496402
tauleaping,0,100,True,birthdeath,0.1,1,190.0,0.3878754977915217,0.13991440775950667
tauleaping,0,100,True,birthdeath,0.1,1,190.0,0.39100425340682493,0.14057280960945528
