method,g_steps,tau_steps,use_corrector,corrector,c_stepsize,c_steps,nfe,h_dist,outlier_rate
tauleaping,0,50,True,mpf,1.0,1,95.0,0.3794871595882483,0.1249919707091469
tauleaping,0,50,True,mpf,1.0,1,95.0,0.3780450319462578,0.1218806205035971
tauleaping,0,50,True,mpf,1.0,1,95.0,0.3792639253193196,0.1228642086330935
tauleaping,0,100,True,mpf,1.0,1,190.0,0.3803206155931551,0.123382097893114
tauleaping,0,100,True,mpf,1.0,1,190.0,0.3800044233128485,0.1224346415724563
tauleaping,0,100,True,mpf,1.0,1,190.0,0.378350531199444,0.1214390095066803
tauleaping,0,200,True,mpf,1.0,1,380.0,0.3784528547391856,0.121350687307297
tauleaping,0,200,True,mpf,1.0,1,380.0,0.3784375251255171,0.1215634635149023
tauleaping,0,200,True,mpf,1.0,1,380.0,0.3785529563636009,0.1216919321685508
tauleaping,0,50,True,birthdeath,0.1,1,95.0,0.3967871730204158,0.1509948291366906
tauleaping,0,50,True,birthdeath,0.1,1,95.0,0.4003014485693266,0.1559047404933196
tauleaping,0,50,True,birthdeath,0.1,1,95.0,0.3982396296879069,0.1535160264645426
tauleaping,0,100,True,birthdeath,0.1,1,190.0,0.3882195069656297,0.138742131294964
tauleaping,0,100,True,birthdeath,0.1,1,190.0,0.3878754977915217,0.1399144077595066
tauleaping,0,100,True,birthdeath,0.1,1,190.0,0.3910042534068249,0.1405728096094552
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3895817793680062,0.1367669257451182
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3889219593341161,0.1353015801644398
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3891974685911025,0.1358917330421377
tauleaping,0,100,True,birthdeath,1.0,1,190.0,0.3973114777200636,0.1468717882836588
tauleaping,0,100,True,birthdeath,1.0,1,190.0,0.3965882636442641,0.1464422212230215
tauleaping,0,100,True,birthdeath,1.0,1,190.0,0.3966372496236577,0.1459484198355601
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3920443183532601,0.1385895747687564
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3882564516740241,0.1366585303186022
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3902729387442686,0.1368873651079136
tauleaping,0,50,True,birthdeath,1.0,1,95.0,0.4099244987025735,0.1647570336587872
tauleaping,0,50,True,birthdeath,1.0,1,95.0,0.4078106589597794,0.1629062821171634
tauleaping,0,50,True,birthdeath,1.0,1,95.0,0.4088705765654382,0.1622318216855087
tauleaping,0,100,True,birthdeath,1.0,1,190.0,0.3973791166452701,0.1467553635662898
tauleaping,0,100,True,birthdeath,1.0,1,190.0,0.3960499438127914,0.1457356436279547
tauleaping,0,100,True,birthdeath,1.0,1,190.0,0.3975292531922859,0.1481725334018499
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3892061033509161,0.1379432168550873
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.3875745015104827,0.1357191032887975
tauleaping,0,200,True,birthdeath,1.0,1,380.0,0.388145631706752,0.136610354573484
gillespies,3,0,True,mpf,1.0,1,141.86666666666667,0.4265747545674087,0.1002577402363823
gillespies,3,0,True,mpf,1.0,1,141.86666666666667,0.4274798642635909,0.1003902235354573
